Samples,ShootBiomass,Groups
DZA_121_3253,0.34,sm_121
DZA_121_3262,0.33,sm_121
DZA_121_3457,0.31,sm_121
DZA_121_3481,0.38,sm_121
DZA_141_3153,0.35,sm_141
DZA_141_3199,0.38,sm_141
DZA_141_3387,0.41,sm_141
DZA_141_3459,0.39,sm_141
DZA_144B_3215,0.41,sm_144B
DZA_144B_3223,0.24,sm_144B
DZA_144B_3239,0.49,sm_144B
DZA_144B_3243,0.35,sm_144B
DZA_176A_3292,0.37,sm_176A
DZA_176A_3338,0.34,sm_176A
DZA_176A_3342,0.41,sm_176A
DZA_176A_3504,0.28,sm_176A
DZA_182_3305,0.26,sm_182
DZA_182_3330,0.32,sm_182
DZA_182_3406,0.49,sm_182
DZA_182_3485,0.3,sm_182
DZA_199_3210,0.3,sm_199
DZA_199_3285,0.42,sm_199
DZA_199_3364,0.38,sm_199
DZA_199_3410,0.42,sm_199
DZA_204_3205,0.64,sm_204
DZA_204_3339,0.46,sm_204
DZA_204_3356,0.37,sm_204
DZA_204_3488,0.42,sm_204
DZA_206_3170,0.52,sm_206
DZA_206_3229,0.4,sm_206
DZA_206_3399,0.48,sm_206
DZA_206_3414,0.44,sm_206
DZA_216_3216,0.46,sm_216
DZA_216_3316,0.34,sm_216
DZA_216_3461,0.38,sm_216
DZA_216_3476,0.34,sm_216
DZA_230_3400,0.26,sm_230
DZA_230_3451,0.28,sm_230
DZA_230_3469,0.29,sm_230
DZA_230_3513,0.21,sm_230
DZA_25B_3236,0.091,sm_25B
DZA_25B_3340,0.073,sm_25B
DZA_25B_3420,0.055,sm_25B
DZA_25B_3475,0.35,sm_25B
DZA_278_3119,0.48,sm_278
DZA_278_3429,0.43,sm_278
DZA_278_3450,0.34,sm_278
DZA_278_3494,0.45,sm_278
DZA_282_3203,0.41,sm_282
DZA_282_3307,0.3,sm_282
DZA_282_3413,0.12,sm_282
DZA_282_3443,0.42,sm_282
DZA_283_3258,0.41,sm_283
DZA_283_3287,0.49,sm_283
DZA_283_3380,0.27,sm_283
DZA_283_3381,0.47,sm_283
DZA_31_3359,0.084,sm_31
DZA_31_3379,0.1,sm_31
DZA_31_3389,0.24,sm_31
DZA_31_3444,0.1,sm_31
DZA_335_3407,0.24,sm_335
DZA_335_3431,0.16,sm_335
DZA_335_3462,0.21,sm_335
DZA_335_3503,0.23,sm_335
DZA_724B_3255,0.15,sm_724B
DZA_724B_3353,0.18,sm_724B
DZA_724B_3363,0.2,sm_724B
DZA_724B_3403,0.22,sm_724B
DZA_746B_3293,0.099,sm_746B
DZA_746B_3318,0.099,sm_746B
DZA_746B_3344,0.049,sm_746B
DZA_746B_3385,0.048,sm_746B
DZA_748B_3124,0.12,sm_748B
DZA_748B_3197,0.13,sm_748B
DZA_748B_3314,0.12,sm_748B
DZA_748B_3327,0.18,sm_748B
DZA_89_3275,0.23,sm_89
DZA_89_3446,0.43,sm_89
DZA_89_3452,0.26,sm_89
DZA_89_3468,0.43,sm_89